State,Lock Down,Ease Restrictions I,Ease Restrictions II,Ease Restrictions III,Ease Restrictions IV,Mandatory Face Mask,Masks Enforced
Alabama,04/04/2020,04/30/2020,NULL,NULL,NULL,05/01/2020,TRUE
Alaska,03/28/2020,04/24/2020,NULL,NULL,NULL,TRUE,NULL
Arizona,03/31/2020,05/04/2020,05/08/2020,05/12/2020,05/15/2020,NULL,NULL
Arkansas,NULL,05/01/2020,05/11/2020,NULL,NULL,NULL,NULL
California,03/19/2020,NULL,NULL,NULL,NULL,TRUE,TRUE
Colorado,03/26/2020,04/26/2020,05/01/2020,NULL,NULL,05/06/2020,TRUE
Connecticut,03/23/2020,05/20/2020,NULL,NULL,NULL,04/20/2020,NULL
Delaware,03/24/2020,05/15/2020,NULL,NULL,NULL,NULL,NULL
District of Columbia,04/01/2020,05/15/2020,NULL,NULL,NULL,TRUE,TRUE
Florida,04/03/2020,05/04/2020,NULL,NULL,NULL,TRUE,TRUE
Georgia,04/03/2020,04/24/2020,04/30/2020,NULL,NULL,NULL,NULL
Hawaii,03/25/2020,05/31/2020,NULL,NULL,NULL,04/20/2020,TRUE
Idaho,03/25/2020,04/30/2020,05/01/2020,NULL,NULL,NULL,NULL
Illinois,03/21/2020,05/01/2020,05/30/2020,NULL,NULL,TRUE,TRUE
Indiana,03/24/2020,05/04/2020,NULL,NULL,NULL,TRUE,FALSE
Iowa,NULL,05/01/2020,NULL,NULL,NULL,NULL,NULL
Kansas,03/30/2020,05/03/2020,NULL,NULL,NULL,NULL,NULL
Kentucky,03/26/2020,04/29/2020,05/11/2020,05/20/2020,05/25/2020,TRUE,FALSE
Louisiana,03/23/2020,05/15/2020,NULL,NULL,NULL,NULL,NULL
Maine,04/02/2020,04/30/2020,NULL,NULL,NULL,TRUE,TRUE
Maryland,03/30/2020,NULL,NULL,NULL,NULL,04/18/2020,TRUE
Massachusetts,03/24/2020,05/18/2020,NULL,NULL,NULL,TRUE,TRUE
Michigan,03/24/2020,05/15/2020,NULL,NULL,NULL,TRUE,TRUE
Minnesota,03/27/2020,04/27/2020,05/18/2020,NULL,NULL,NULL,NULL
Mississippi,04/03/2020,04/27/2020,NULL,NULL,NULL,TRUE,NULL
Missouri,04/06/2020,05/03/2020,NULL,NULL,NULL,NULL,NULL
Montana,03/28/2020,04/26/2020,05/04/2020,NULL,NULL,TRUE,FALSE
Nebraska,NULL,05/04/2020,NULL,NULL,NULL,NULL,NULL
Nevada,04/01/2020,05/15/2020,NULL,NULL,NULL,NULL,NULL
New Hampshire,03/27/2020,05/31/2020,NULL,NULL,NULL,NULL,NULL
New Jersey,03/21/2020,NULL,NULL,NULL,NULL,04/08/2020,TRUE
New Mexico,03/24/2020,05/15/2020,NULL,NULL,NULL,NULL,NULL
New York,03/22/2020,05/15/2020,NULL,NULL,NULL,04/17/2020,TRUE
North Carolina,03/30/2020,05/08/2020,NULL,NULL,NULL,NULL,NULL
North Dakota,NULL,05/01/2020,NULL,NULL,NULL,NULL,NULL
Ohio,03/23/2020,05/12/2020,05/29/2020,NULL,NULL,NULL,NULL
Oklahoma,NULL,04/24/2020,05/01/2020,NULL,NULL,TRUE,TRUE
Oregon,03/23/2020,NULL,NULL,NULL,NULL,NULL,NULL
Pennsylvania,04/01/2020,05/08/2020,NULL,NULL,NULL,04/19/2020,TRUE
Rhode Island,03/28/2020,05/08/2020,NULL,NULL,NULL,04/18/2020,NULL
South Carolina,04/07/2020,04/20/2020,05/04/2020,NULL,NULL,NULL,NULL
South Dakota,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tennessee,03/31/2020,04/27/2020,04/29/2020,05/01/2020,NULL,NULL,NULL
Texas,04/02/2020,04/30/2020,NULL,NULL,NULL,TRUE,NULL
Utah,NULL,05/01/2020,NULL,NULL,NULL,TRUE,FALSE
Vermont,03/25/2020,05/15/2020,NULL,NULL,NULL,TRUE,TRUE
Virginia,03/30/2020,06/10/2020,NULL,NULL,NULL,NULL,NULL
Washington,03/23/2020,05/31/2020,NULL,NULL,NULL,NULL,NULL
West Virginia,03/24/2020,05/04/2020,NULL,NULL,NULL,NULL,NULL
Wisconsin,03/25/2020,05/26/2020,NULL,NULL,NULL,NULL,NULL
Wyoming,NULL,05/01/2020,NULL,NULL,NULL,NULL,NULL
